Modell,16 Epochen,32 Epochen,48 Epochen,64 Epochen,80 Epochen,96 Epochen,112 Epochen,128 Epochen,144 Epochen,160 Epochen,176 Epochen,192 Epochen,208 Epochen,224 Epochen,240 Epochen,256 Epochen,272 Epochen,288 Epochen
Modell 0,0.344997644424438,0.272500514984131,0.295001268386841,0.257498025894165,0.234997272491455,0.230002403259277,0.230002403259277,0.25249719619751,0.234997272491455,0.23999810218811,0.230002403259277,0.26249885559082,0.227499008178711,0.255000591278076,0.212502479553223,0.247502326965332,0.23999810218811,0.234997272491455
Modell 1,0.397497415542603,0.335001945495606,0.272500514984131,0.26249885559082,0.277501344680786,0.267499685287476,0.225001573562622,0.260001420974731,0.230002403259277,0.277501344680786,0.212502479553223,0.247502326965332,0.26249885559082,0.25249719619751,0.242501497268677,0.230002403259277,0.23999810218811,0.269997119903564
Modell 2,0.309997797012329,0.309997797012329,0.302499532699585,0.282502174377441,0.247502326965332,0.29749870300293,0.28499960899353,0.265002250671387,0.277501344680786,0.247502326965332,0.230002403259277,0.260001420974731,0.292497873306274,0.227499008178711,0.222498178482056,0.232499837875366,0.222498178482056,0.207501649856567
Modell 3,0.482499599456787,0.300002098083496,0.277501344680786,0.255000591278076,0.232499837875366,0.244998931884766,0.255000591278076,0.260001420974731,0.242501497268677,0.247502326965332,0.214999914169312,0.26249885559082,0.232499837875366,0.214999914169312,0.232499837875366,0.234997272491455,0.2174973487854,0.237500667572021
Modell 4,0.34250020980835,0.322502851486206,0.282502174377441,0.279998779296875,0.255000591278076,0.237500667572021,0.244998931884766,0.232499837875366,0.255000591278076,0.23999810218811,0.237500667572021,0.265002250671387,0.244998931884766,0.230002403259277,0.25249719619751,0.247502326965332,0.279998779296875,0.260001420974731
Modell 5,0.367498397827148,0.272500514984131,0.277501344680786,0.260001420974731,0.230002403259277,0.26249885559082,0.26249885559082,0.2174973487854,0.230002403259277,0.26249885559082,0.222498178482056,0.28499960899353,0.255000591278076,0.249999761581421,0.222498178482056,0.244998931884766,0.209999084472656,0.207501649856567
Modell 6,0.422501564025879,0.277501344680786,0.31999945640564,0.260001420974731,0.277501344680786,0.267499685287476,0.237500667572021,0.255000591278076,0.242501497268677,0.234997272491455,0.234997272491455,0.255000591278076,0.232499837875366,0.2174973487854,0.227499008178711,0.2174973487854,0.255000591278076,0.234997272491455
Modell 7,0.349998474121094,0.28499960899353,0.302499532699585,0.269997119903564,0.257498025894165,0.255000591278076,0.267499685287476,0.277501344680786,0.255000591278076,0.237500667572021,0.257498025894165,0.247502326965332,0.267499685287476,0.290000438690186,0.28499960899353,0.225001573562622,0.244998931884766,0.255000591278076
Modell 8,0.392502546310425,0.30750036239624,0.279998779296875,0.267499685287476,0.244998931884766,0.287497043609619,0.257498025894165,0.199997425079346,0.230002403259277,0.257498025894165,0.227499008178711,0.249999761581421,0.225001573562622,0.242501497268677,0.255000591278076,0.212502479553223,0.234997272491455,0.242501497268677
Modell 9,0.367498397827148,0.30750036239624,0.287497043609619,0.244998931884766,0.269997119903564,0.25249719619751,0.277501344680786,0.23999810218811,0.242501497268677,0.232499837875366,0.247502326965332,0.222498178482056,0.26249885559082,0.237500667572021,0.222498178482056,0.27499794960022,0.232499837875366,0.26249885559082
Ensemble,0.265002250671387,0.227499008178711,0.199997425079346,0.197499990463257,0.195002555847168,0.187498331069946,0.195002555847168,0.187498331069946,0.177502632141113,0.172501802444458,0.185000896453857,0.187498331069946,0.177502632141113,0.190001726150513,0.185000896453857,0.167500972747803,0.174999237060547,0.180000066757202
Best single Model,0.309997797012329,0.272500514984131,0.272500514984131,0.244998931884766,0.230002403259277,0.230002403259277,0.225001573562622,0.199997425079346,0.230002403259277,0.232499837875366,0.212502479553223,0.222498178482056,0.225001573562622,0.214999914169312,0.212502479553223,0.212502479553223,0.209999084472656,0.207501649856567
