Modell,16 Epochen,32 Epochen,48 Epochen,64 Epochen,80 Epochen,96 Epochen,112 Epochen,128 Epochen,144 Epochen,160 Epochen,176 Epochen,192 Epochen,208 Epochen,224 Epochen,240 Epochen,256 Epochen,272 Epochen,288 Epochen
Modell 0,,0.470000505447,0.470000505447,0.419998168945,0.48999786377,0.440001487732,0.38999915123,0.48999786377,0.2749979496,0.220000743866,0.239998102188,0.244998931885,0.239998102188,0.252497196198,0.234997272491,0.23999810218811,0.222498178482056,0.232499837875366
Modell 1,,0.480002164841,0.480002164841,0.540000200272,0.319999456406,0.349998474121,0.540000200272,0.38999915123,0.282502174377,0.265002250671,0.249999761581,0.249999761581,0.2749979496,0.234997272491,0.222498178482,0.27499794960022,0.269997119903564,0.257498025894165
Modell 2,,0.569999217987,0.38999915123,0.480002164841,0.419998168945,0.419998168945,0.400000810623,0.480002164841,0.2749979496,0.265002250671,0.239998102188,0.269997119904,0.249999761581,0.244998931885,0.232499837875,0.26249885559082,0.249999761581421,0.230002403259277
Modell 3,,0.599998235703,0.559997558594,0.340002775192,0.520002841949,0.529998540878,0.38999915123,0.419998168945,0.309997797012,0.247502326965,0.269997119904,0.239998102188,0.237500667572,0.244998931885,0.249999761581,0.232499837875366,0.222498178482056,0.25249719619751
Modell 4,,0.660002231598,0.510001182556,0.38999915123,0.349998474121,0.440001487732,0.540000200272,0.419998168945,0.292497873306,0.262498855591,0.262498855591,0.257498025894,0.217497348785,0.244998931885,0.249999761581,0.23999810218811,0.242501497268677,0.230002403259277
Modell 5,,0.550001859665,0.520002841949,0.58000087738,0.400000810623,0.429999828339,0.480002164841,0.330001115799,0.2749979496,0.257498025894,0.269997119904,0.247502326965,0.29000043869,0.237500667572,0.292497873306,0.26249885559082,0.269997119903564,0.257498025894165
Modell 6,,0.429999828339,0.379997491837,0.419998168945,0.340002775192,0.379997491837,0.480002164841,0.319999456406,0.244998931885,0.295001268387,0.269997119904,0.227499008179,0.232499837875,0.257498025894,0.234997272491,0.212502479553223,0.214999914169312,0.234997272491455
Modell 7,,0.529998540878,0.419998168945,0.360000133514,0.529998540878,0.300002098083,0.499999523163,0.440001487732,0.255000591278,0.227499008179,0.227499008179,0.225001573563,0.262498855591,0.227499008179,0.257498025894,0.257498025894165,0.225001573562622,0.230002403259277
Modell 8,,0.400000810623,0.520002841949,0.520002841949,0.429999828339,0.449997186661,0.419998168945,0.379997491837,0.295001268387,0.242501497269,0.252497196198,0.230002403259,0.272500514984,0.277501344681,0.244998931885,0.214999914169312,0.212502479553223,0.212502479553223
Modell 9,,0.379997491837,0.440001487732,0.449997186661,0.550001859665,0.609999895096,0.400000810623,0.370001792908,0.267499685287,0.295001268387,0.284999608994,0.232499837875,0.252497196198,0.247502326965,0.209999084473,0.242501497268677,0.249999761581421,0.282502174377441
Ensemble,,0.349998474121094,0.309997797012329,0.290000438690186,0.260001420974731,0.260001420974731,0.260001420974731,0.249999761581421,0.199997425079346,0.187498331069946,0.187498331069946,0.174999237060547,0.177502632141113,0.187498331069946,0.169998407363892,0.190001726150513,0.177502632141113,0.192499160766602
Best single Model,,0.379997491837,0.379997491837,0.340002775192,0.319999456406,0.300002098083,0.38999915123,0.319999456406,0.244998931885,0.220000743866,0.227499008179,0.225001573563,0.217497348785,0.227499008179,0.209999084473,0.212502479553223,0.212502479553223,0.212502479553223
