Modell,16 Epochen,32 Epochen,48 Epochen,64 Epochen,80 Epochen,96 Epochen,112 Epochen,128 Epochen,144 Epochen,160 Epochen,176 Epochen,192 Epochen,208 Epochen,224 Epochen,240 Epochen,256 Epochen,272 Epochen,288 Epochen
Modell 0,0.317502021789551,0.337499380111694,0.287497043609619,0.269997119903564,0.237500667572021,0.249999761581421,0.26249885559082,0.232499837875366,0.232499837875366,0.212502479553223,0.230002403259277,0.257498025894165,0.26249885559082,0.267499685287476,0.212502479553223,0.244998931884766,,
Modell 1,0.445002317428589,0.325000286102295,0.279998779296875,0.27499794960022,0.249999761581421,0.25249719619751,0.244998931884766,0.257498025894165,0.287497043609619,0.234997272491455,0.23999810218811,0.244998931884766,0.247502326965332,0.267499685287476,0.23999810218811,0.23999810218811,,
Modell 2,0.370001792907715,0.30750036239624,0.260001420974731,0.244998931884766,0.257498025894165,0.267499685287476,0.257498025894165,0.267499685287476,0.279998779296875,0.277501344680786,0.242501497268677,0.237500667572021,0.244998931884766,0.234997272491455,0.269997119903564,0.237500667572021,,
Modell 3,0.354999303817749,0.33000111579895,0.277501344680786,0.25249719619751,0.27499794960022,0.28499960899353,0.2174973487854,0.232499837875366,0.242501497268677,0.234997272491455,0.242501497268677,0.269997119903564,0.255000591278076,0.232499837875366,0.242501497268677,0.244998931884766,,
Modell 4,0.372499227523804,0.322502851486206,0.277501344680786,0.290000438690186,0.227499008178711,0.247502326965332,0.265002250671387,0.232499837875366,0.237500667572021,0.220000743865967,0.249999761581421,0.227499008178711,0.244998931884766,0.225001573562622,0.249999761581421,0.222498178482056,,
Modell 5,0.392502546310425,0.335001945495606,0.33000111579895,0.28499960899353,0.279998779296875,0.232499837875366,0.272500514984131,0.292497873306274,0.255000591278076,0.244998931884766,0.230002403259277,0.23999810218811,0.257498025894165,0.212502479553223,0.234997272491455,0.234997272491455,,
Modell 6,0.34250020980835,0.31999945640564,0.300002098083496,0.265002250671387,0.29749870300293,0.237500667572021,0.25249719619751,0.249999761581421,0.247502326965332,0.214999914169312,0.255000591278076,0.255000591278076,0.234997272491455,0.237500667572021,0.27499794960022,0.237500667572021,,
Modell 7,0.360000133514404,0.327497720718384,0.300002098083496,0.279998779296875,0.26249885559082,0.23999810218811,0.249999761581421,0.257498025894165,0.242501497268677,0.225001573562622,0.247502326965332,0.25249719619751,0.23999810218811,0.25249719619751,0.222498178482056,0.234997272491455,,
Modell 8,0.377500057220459,0.314998626708984,0.257498025894165,0.267499685287476,0.260001420974731,0.257498025894165,0.26249885559082,0.237500667572021,0.290000438690186,0.242501497268677,0.265002250671387,0.23999810218811,0.230002403259277,0.267499685287476,0.255000591278076,0.225001573562622,,
Modell 9,0.360000133514404,0.309997797012329,0.265002250671387,0.277501344680786,0.29749870300293,0.265002250671387,0.27499794960022,0.269997119903564,0.247502326965332,0.26249885559082,0.23999810218811,0.230002403259277,0.23999810218811,0.247502326965332,0.237500667572021,0.260001420974731,,
Ensemble,0.25249719619751,0.212502479553223,0.204998254776001,0.209999084472656,0.197499990463257,0.192499160766602,0.199997425079346,0.190001726150513,0.177502632141113,0.182497501373291,0.204998254776001,0.182497501373291,0.185000896453857,0.180000066757202,0.180000066757202,0.172501802444458,,
Best single Model,0.317502021789551,0.30750036239624,0.257498025894165,0.244998931884766,0.227499008178711,0.232499837875366,0.2174973487854,0.232499837875366,0.232499837875366,0.212502479553223,0.230002403259277,0.227499008178711,0.230002403259277,0.212502479553223,0.212502479553223,0.222498178482056,0,0
